Message Type,Message Source,Timestamp,Mac Address,Status,Latitide,Logitude,Direction,Speed Horizontal,Speed Vertical,Altitude Pressure,Altitude Geodetic,Height,Height Type,Horizontal Accuracy,Vertical Accuracy,Baro Accuracy,Speed Accuracy,Time Accuracy,ID Type,UA Type,UAS ID,Operator ID,Description Type,Description,Operator Location Type,Operator Latitude,Operator Longitude,Operator Altitude Geo,Are Count,Area Radius,Area Ceiling,Area Floor,Classification Type,Category,Class Value
Self ID,BluetoothLegacy,2024-03-15 17:03:27.125,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:27.125,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:28.048,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:28.048,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:28.048,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:28.048,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:28.048,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:29.733,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:29.733,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:29.733,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:29.733,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:29.733,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:32.011,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:32.011,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:32.011,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:32.011,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:32.011,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:32.149,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:32.149,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:32.149,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:32.149,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:32.149,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:33.289,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:33.289,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:33.289,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:33.289,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:33.289,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:33.511,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:33.511,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:33.511,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:33.511,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:33.511,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:34.408,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:34.408,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:34.408,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:34.408,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:34.408,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:34.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:34.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:34.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:34.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:34.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:34.807,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:34.807,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,Serial Number,Helicopter Or Multirotor,1581F08QUE3800102HM,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:34.807,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:34.807,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:34.807,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:35.968,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:35.968,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:35.968,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:35.968,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:35.968,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:36.051,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5174236,80.6651916,281 °,22.50 m/s,Unknown,Unknown,100.0 m,94.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:36.051,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:36.051,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:36.051,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:36.051,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:36.504,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.517227,80.6643308,202 °,23.00 m/s,Unknown,Unknown,100.0 m,95.0 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:36.504,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:36.504,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:36.504,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:36.504,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:37.196,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.517227,80.6643308,202 °,23.00 m/s,Unknown,Unknown,100.0 m,95.0 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:37.196,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:37.196,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:37.196,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:37.196,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:37.286,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.517227,80.6643308,202 °,23.00 m/s,Unknown,Unknown,100.0 m,95.0 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:37.286,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:37.286,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:37.286,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:37.286,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:37.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.517227,80.6643308,202 °,23.00 m/s,Unknown,Unknown,100.0 m,95.0 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:37.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:37.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:37.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:37.507,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:37.782,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5171809,80.6641904,285 °,22.50 m/s,Unknown,Unknown,100.0 m,95.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:37.782,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
Operator ID,BluetoothLegacy,2024-03-15 17:03:37.782,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,, DJI MAVIC 2,,,,,,,,,,,,,
Self ID,BluetoothLegacy,2024-03-15 17:03:37.782,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,Text Description,COMMERCIAL,,,,,,,,,,,
System Data,BluetoothLegacy,2024-03-15 17:03:37.782,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,,,,,,,Take Off,16.5174236,80.6653747,100.0 m,1.0,500.0,Unknown,Unknown,UAClassificationUndeclared,,
Location,BluetoothLegacy,2024-03-15 17:03:38.451,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,Unknown,16.5171809,80.6641904,285 °,22.50 m/s,Unknown,Unknown,100.0 m,95.5 m,Above Take Off,< 10 m,< 10 m,< 10 m,< 10 m/s,<= 1.5 s,,,,,,,,,,,,,,,,,
Basic ID,BluetoothLegacy,2024-03-15 17:03:38.451,D96F99CE-3D91-74EE-4D86-8FA70524C0A3,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,
